time	best_bid	best_ask
866.061	15.04	15.05
866.16	15.04	15.05
866.261	15.04	15.05
866.362	15.04	15.05
866.462	15.04	15.05
866.961	15.04	15.05
867.061	15.04	15.05
867.161	15.04	15.05
867.261	15.04	15.05
867.462	15.04	15.05
867.661	15.04	15.05
867.762	15.04	15.05
867.862	15.04	15.05
867.962	15.04	15.05
868.261	15.04	15.05
868.462	15.04	15.05
868.562	15.04	15.05
868.862	15.04	15.05
868.962	15.04	15.05
869.363	15.04	15.05
869.662	15.04	15.05
869.761	15.04	15.05
869.963	15.04	15.05
870.063	15.04	15.05
870.162	15.04	15.05
870.263	15.04	15.05
870.364	15.04	15.05
870.462	15.04	15.05
870.563	15.04	15.05
870.663	15.04	15.05
870.764	15.04	15.05
870.864	15.04	15.05
871.063	15.04	15.05
871.163	15.04	15.05
871.563	15.04	15.05
871.663	15.04	15.05
871.764	15.04	15.05
871.964	15.04	15.05
872.064	15.04	15.05
872.164	15.04	15.05
872.465	15.04	15.05
872.565	15.04	15.05
872.864	15.04	15.05
872.964	15.04	15.05
873.066	15.04	15.05
873.167	15.04	15.05
873.264	15.04	15.05
873.665	15.04	15.05
873.966	15.04	15.05
874.265	15.04	15.05
875.165	15.04	15.05
875.267	15.04	15.05
875.666	15.04	15.05
875.967	15.04	15.05
876.067	15.04	15.05
876.167	15.04	15.05
876.467	15.04	15.05
876.566	15.04	15.05
877.367	15.04	15.05
878.47	15.05	15.06
878.569	15.05	15.06
878.671	15.05	15.06
878.771	15.05	15.06
878.868	15.05	15.06
878.969	15.05	15.06
879.169	15.05	15.06
879.268	15.05	15.06
879.369	15.05	15.06
879.469	15.05	15.06
879.569	15.05	15.06
879.669	15.05	15.06
879.969	15.05	15.06
880.069	15.05	15.06
880.169	15.05	15.06
880.268	15.05	15.06
880.369	15.05	15.06
880.467	15.05	15.06
880.669	15.05	15.06
880.769	15.05	15.06
880.869	15.05	15.06
880.972	15.05	15.06
881.171	15.05	15.06
881.571	15.05	15.06
881.869	15.05	15.06
882.169	15.05	15.06
882.27	15.05	15.06
882.469	15.05	15.06
882.77	15.05	15.06
882.869	15.05	15.06
883.071	15.05	15.06
884.171	15.05	15.06
884.271	15.05	15.06
884.371	15.05	15.06
884.471	15.05	15.06
884.572	15.05	15.06
884.771	15.05	15.06
884.871	15.05	15.06
884.971	15.05	15.06
885.371	15.05	15.06
885.772	15.05	15.06
885.871	15.05	15.06
885.971	15.05	15.06
886.171	15.05	15.06
886.271	15.05	15.06
886.572	15.05	15.06
886.871	15.05	15.06
886.972	15.05	15.06
887.071	15.05	15.06
887.673	15.05	15.06
887.774	15.05	15.06
887.873	15.05	15.06
887.973	15.05	15.06
888.073	15.05	15.06
888.173	15.05	15.06
888.273	15.05	15.06
888.373	15.05	15.06
888.473	15.05	15.06
888.873	15.05	15.06
888.974	15.04	15.05
889.077	15.04	15.05
889.173	15.04	15.05
889.274	15.04	15.05
889.375	15.04	15.05
889.474	15.04	15.05
889.574	15.04	15.05
889.673	15.04	15.05
889.774	15.04	15.05
889.873	15.04	15.05
889.974	15.04	15.05
890.175	15.04	15.05
890.274	15.04	15.05
890.374	15.04	15.05
890.575	15.04	15.05
890.675	15.04	15.05
890.774	15.04	15.05
890.975	15.04	15.05
891.073	15.04	15.05
891.174	15.04	15.05
891.475	15.04	15.05
891.676	15.04	15.05
891.975	15.04	15.05
892.076	15.04	15.05
892.175	15.04	15.05
893.176	15.04	15.05
893.275	15.04	15.05
893.377	15.04	15.05
893.576	15.04	15.05
893.776	15.04	15.05
893.976	15.04	15.05
894.475	15.04	15.05
894.576	15.04	15.05
895.377	15.04	15.05
895.676	15.04	15.05
895.777	15.04	15.05
895.876	15.04	15.05
896.477	15.04	15.05
896.577	15.04	15.05
896.677	15.04	15.05
896.778	15.04	15.05
896.977	15.04	15.05
897.078	15.04	15.05
897.178	15.04	15.05
897.379	15.04	15.05
897.48	15.04	15.05
897.579	15.04	15.05
897.683	15.04	15.05
897.781	15.04	15.05
897.878	15.04	15.05
897.979	15.04	15.05
898.179	15.04	15.05
898.379	15.04	15.05
898.479	15.04	15.05
898.579	15.04	15.05
898.678	15.04	15.05
898.779	15.04	15.05
898.88	15.04	15.05
899.184	15.04	15.05
899.278	15.04	15.05
899.579	15.04	15.05
899.783	15.04	15.05
899.88	15.04	15.05
900.579	15.04	15.05
900.88	15.04	15.05
901.281	15.04	15.05
901.382	15.03	15.04
901.481	15.03	15.04
901.585	15.03	15.04
901.683	15.03	15.04
901.782	15.03	15.04
901.883	15.03	15.04
901.982	15.03	15.04
902.081	15.03	15.04
902.186	15.03	15.04
902.281	15.03	15.04
902.381	15.03	15.04
902.48	15.03	15.04
902.681	15.03	15.04
903.082	15.03	15.04
903.18	15.03	15.04
903.281	15.03	15.04
903.382	15.03	15.04
903.481	15.03	15.04
903.583	15.03	15.04
903.782	15.03	15.04
903.882	15.03	15.04
904.184	15.03	15.04
904.481	15.03	15.04
904.883	15.04	15.05
904.984	15.04	15.05
905.084	15.04	15.05
905.186	15.04	15.05
905.284	15.04	15.05
905.483	15.04	15.05
905.583	15.04	15.05
905.683	15.04	15.05
905.784	15.04	15.05
905.883	15.04	15.05
905.983	15.04	15.05
906.082	15.04	15.05
906.183	15.04	15.05
906.383	15.04	15.05
906.483	15.04	15.05
906.585	15.04	15.05
906.684	15.04	15.05
906.784	15.04	15.05
906.886	15.05	15.06
906.988	15.05	15.06
907.085	15.05	15.06
907.186	15.05	15.06
907.284	15.05	15.06
907.484	15.05	15.06
907.584	15.05	15.06
907.686	15.05	15.06
907.786	15.05	15.06
907.885	15.05	15.06
907.984	15.05	15.06
908.183	15.05	15.06
908.283	15.05	15.06
908.383	15.05	15.06
908.483	15.05	15.06
908.585	15.05	15.06
908.684	15.05	15.06
908.783	15.05	15.06
909.184	15.05	15.06
909.484	15.05	15.06
909.585	15.05	15.06
909.685	15.05	15.06
909.786	15.05	15.06
909.885	15.06	15.07
909.984	15.06	15.07
910.086	15.06	15.07
910.184	15.06	15.07
910.286	15.06	15.07
910.487	15.06	15.07
910.587	15.06	15.07
910.684	15.06	15.07
910.785	15.06	15.07
910.885	15.06	15.07
910.987	15.06	15.07
911.085	15.06	15.07
911.185	15.06	15.07
911.288	15.06	15.07
911.388	15.06	15.07
911.487	15.06	15.07
911.588	15.06	15.07
911.687	15.06	15.07
911.786	15.06	15.07
911.885	15.06	15.07
911.986	15.06	15.07
912.086	15.06	15.07
912.487	15.06	15.07
912.587	15.06	15.07
912.685	15.06	15.07
912.787	15.06	15.07
912.887	15.06	15.07
912.987	15.06	15.07
913.186	15.06	15.07
913.387	15.06	15.07
913.787	15.06	15.07
913.888	15.06	15.07
913.989	15.06	15.07
914.089	15.06	15.07
914.288	15.06	15.07
914.487	15.06	15.07
914.687	15.06	15.07
914.887	15.06	15.07
914.988	15.06	15.07
915.089	15.06	15.07
915.19	15.06	15.07
915.286	15.06	15.07
915.388	15.06	15.07
915.487	15.06	15.07
915.588	15.06	15.07
915.687	15.06	15.07
916.188	15.06	15.07
916.488	15.06	15.07
916.692	15.06	15.07
916.791	15.06	15.07
916.891	15.06	15.07
916.989	15.06	15.07
917.089	15.06	15.07
917.19	15.06	15.07
917.489	15.06	15.07
917.689	15.06	15.07
917.789	15.06	15.07
917.889	15.06	15.07
918.688	15.06	15.07
918.788	15.06	15.07
918.89	15.06	15.07
919.09	15.06	15.07
919.79	15.06	15.07
919.891	15.06	15.07
920.091	15.06	15.07
920.191	15.06	15.07
920.291	15.06	15.07
920.391	15.06	15.07
920.493	15.07	15.08
920.592	15.07	15.08
920.692	15.07	15.08
920.791	15.07	15.08
920.894	15.07	15.08
921.092	15.07	15.08
921.191	15.07	15.08
921.29	15.07	15.08
921.392	15.07	15.08
921.496	15.07	15.08
921.592	15.07	15.08
921.693	15.07	15.08
921.792	15.07	15.08
921.892	15.07	15.08
921.992	15.07	15.08
